name,Borough
Caton Ave & Argyle Rd,Brooklyn
Calyer St & Jewel St,Brooklyn
E 7 St & Ave A,Manhattan
Broadway & Furman Ave,Brooklyn
114 St & 39 Ave,Queens
99 St & 32 Ave,Queens
Kingston Ave & Park Pl,Brooklyn
W 144 St & Adam Clayton Powell Blvd,Manhattan
Harman St & Seneca Ave,Queens
St Felix Ave & 61 St,Queens
Dean St & Rockaway Ave,Brooklyn
Macon St & Lewis Ave,Brooklyn
Warren St & Smith St,Brooklyn
Fairmount Ave,Other
E 6 St & Ave B,Manhattan
37 Ave & 63 St,Queens
Water St & Fletcher St,Manhattan
Spring St & Hudson St,Manhattan
Hughes Ave & Oak Tree Pl,Bronx
Van Brunt St & Van Dyke St,Brooklyn
Grand Ave & Bergen St,Brooklyn
Lexington Ave & E 127 St,Manhattan
Morris Canal,Other
Clinton St & Newark St,Other
Columbus Ave & W 59 St,Manhattan
3 Ave & E 172 St,Bronx
W 159 St & Edgecombe Ave,Manhattan
Crotona Ave & E 179 St,Bronx
72 St & 31 Ave,Queens
10 St & 2 Ave,Brooklyn
Ditmars Blvd & 76 St,Queens
98 St & 41 Ave,Queens
